problematic	fix	from_root	to_root
../36033_root_names.tsv	cf1ebe0cb3a346b18cfd3b1be475c862	1	8
../35720_root_names.tsv	373efce4c165964c95f82dd5db1517aa	1	3
../35720_root_names.tsv	49f425ac46c6e218aab37faa39a7b5f5	3	5
../653948_root_names.tsv	5e66cd0f0f0f468cd9b6560060304334	1	4
../78898_root_names.tsv	92032477dc06b257baa07b2f85494e29	1	3
../5865_root_names.tsv	2d678d9a646d111331ffe797aa34c414	1	4
../3760_root_names.tsv	8c4144d6fe26db0363296a384a9dbe86	10	12
../3760_root_names.tsv	23228235a213920e9bc331470d33cb2e	18	21
../3760_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	22	23
../4096_root_names.tsv	23228235a213920e9bc331470d33cb2e	13	16
../4096_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	17	18
../59463_root_names.tsv	9522822a6d0d12ee6ba2074df633e985	5	7
../59463_root_names.tsv	744c9e8106596f482f963fefcfd44a48	8	10
../59463_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	17	21
../59463_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	24	26
../59463_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	28	30
../59463_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	31	32
../4956_root_names.tsv	700958a2fa5b42a4afedbe4ae42461a7	2	5
../381046_root_names.tsv	7f7d7cf3ba57f77e260dea5e2defe9ef	1	4
../5478_root_names.tsv	25036172b894ff670d77d7ec275a2219	1	6
../29875_root_names.tsv	432a048480bcab0be498d92351c87922	11	14
../29875_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	21	23
../29875_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	24	26
../29875_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	27	28
../5872_root_names.tsv	2d678d9a646d111331ffe797aa34c414	1	4
../5664_root_names.tsv	1affa5edf3775156563976fe20364516	1	3
../5664_root_names.tsv	1c4e7a11fa9f8097a8f98ca2e5b245ca	3	5
../9597_root_names.tsv	1da0e266954e85875a55b7ddb49af7e8	14	16
../9597_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	23	27
../9597_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	30	32
../9597_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	34	36
../9597_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	37	38
../9544_root_names.tsv	1da0e266954e85875a55b7ddb49af7e8	13	15
../9544_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	22	26
../9544_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	29	31
../9544_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	33	35
../9544_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	36	37
../72228_root_names.tsv	20c24dc171de0f1cbe6cc2601eefb61d	1	3
../3712_root_names.tsv	7c15e01c94b15f619feb24e905fe8b54	4	6
../3712_root_names.tsv	8c4144d6fe26db0363296a384a9dbe86	12	14
../3712_root_names.tsv	23228235a213920e9bc331470d33cb2e	20	23
../3712_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	24	25
../84751_root_names.tsv	ab76f319c0b2a68c83f605f2157f9114	1	4
../67593_root_names.tsv	f11146f4613341be879e16998842d608	2	4
../67593_root_names.tsv	90ae0d7435bbde1594b5c50e06cbba87	5	8
../67593_root_names.tsv	9900d3366591dd15d6734a8190cb26b4	10	12
../432096_root_names.tsv	7a3cc0bdefb3a07a14855fd506ed54db	2	7
../432096_root_names.tsv	8c8ffe56f0e5f7066b949a841ff8c127	8	9
../85929_root_names.tsv	2ce71e2658db1451a5f14c5a7c1f4935	1	3
../85929_root_names.tsv	e366d6f59ef3524b82601655fedf14db	3	5
../27288_root_names.tsv	494d1c6a0004613cea77d7e58c08bcd6	3	10
../27288_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	15	17
../27288_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	18	20
../27288_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	21	22
../4950_root_names.tsv	516ec9e90a9beaa43bb47d716a97c38c	2	5
../4950_root_names.tsv	8c8ffe56f0e5f7066b949a841ff8c127	6	7
../1048829_root_names.tsv	39b57d5d4a53698ff27b841127c35459	3	6
../1048829_root_names.tsv	150c997c18223a05c04881480e7b27a7	7	8
../1048829_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	17	19
../1048829_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	20	22
../1048829_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	23	24
../4577_root_names.tsv	e804e6dbee6f6ff38f99dd8c916e7a80	1	3
../72558_root_names.tsv	ab76f319c0b2a68c83f605f2157f9114	1	4
../946362_root_names.tsv	425504dacf550aa7252ec548a07cc476	1	3
../984962_root_names.tsv	f60fe63c983159bf043086e4644d3240	4	6
../41875_root_names.tsv	f4200c3aba6ea9d93cebfcb0c2038399	2	4
../588596_root_names.tsv	92032477dc06b257baa07b2f85494e29	1	3
../9402_root_names.tsv	a8bca8a9f3c52e849bb7da9645811b60	3	5
../9402_root_names.tsv	744c9e8106596f482f963fefcfd44a48	6	8
../9402_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	15	19
../9402_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	22	24
../9402_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	26	28
../9402_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	29	30
../3659_root_names.tsv	59bf5d0e23aa638cf52abba9b49bb2ac	2	4
../3659_root_names.tsv	8c4144d6fe26db0363296a384a9dbe86	6	8
../3659_root_names.tsv	23228235a213920e9bc331470d33cb2e	14	17
../3659_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	18	19
../70448_root_names.tsv	5cc35b1061e047de1097d7ca23245e3a	1	4
../78579_root_names.tsv	373efce4c165964c95f82dd5db1517aa	1	3
../78579_root_names.tsv	49f425ac46c6e218aab37faa39a7b5f5	3	5
../159749_root_names.tsv	9900d3366591dd15d6734a8190cb26b4	8	10
../99158_root_names.tsv	4f7be7d846df213a43f1b768f0ca1de4	1	3
../5059_root_names.tsv	2a0a40b24921c9b2cac6a0cc833f82bd	4	7
../5059_root_names.tsv	9aebfb44539548fe2c0b5e225bc0ca81	10	12
../5059_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	21	23
../5059_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	24	26
../5059_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	27	28
../48698_root_names.tsv	8f5a02c1cc47218730528885428d9630	4	7
../48698_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	13	17
../48698_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	20	22
../48698_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	24	26
../48698_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	27	28
../81824_root_names.tsv	425504dacf550aa7252ec548a07cc476	1	3
../40127_root_names.tsv	bb430f66a6852d60aed74239cdbcd536	3	6
../40127_root_names.tsv	432a048480bcab0be498d92351c87922	8	11
../40127_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	18	20
../40127_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	21	23
../40127_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	24	25
../85681_root_names.tsv	6ace40cd36e9ed29f0a02855f3df83b9	2	4
../85681_root_names.tsv	8c4144d6fe26db0363296a384a9dbe86	6	8
../85681_root_names.tsv	23228235a213920e9bc331470d33cb2e	14	17
../85681_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	18	19
../936053_root_names.tsv	92032477dc06b257baa07b2f85494e29	1	3
../296587_root_names.tsv	a04aa19d92f037049a10bd661d39a51a	1	3
../4529_root_names.tsv	7b855452dbf9d2edcf63713a064f1fcd	1	4
../4529_root_names.tsv	dfe996fdefc7db1e913ad690b0204365	11	13
../4529_root_names.tsv	23228235a213920e9bc331470d33cb2e	16	19
../4529_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	20	21
../5501_root_names.tsv	9c151412ed05cd657f20f5a2a8c35151	3	6
../5501_root_names.tsv	150c997c18223a05c04881480e7b27a7	7	8
../5501_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	17	19
../5501_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	20	22
../5501_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	23	24
../5482_root_names.tsv	c6aa36a9639ed534d23642b0d2a8a73b	1	3
../5482_root_names.tsv	9e00dc2fbd8d247f84ab4dcdf9cca1a7	3	5
../4565_root_names.tsv	dfe996fdefc7db1e913ad690b0204365	9	11
../4565_root_names.tsv	23228235a213920e9bc331470d33cb2e	14	17
../4565_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	18	19
../9913_root_names.tsv	c4fe31cc007b8aa70acfbff11d542771	3	5
../9913_root_names.tsv	744c9e8106596f482f963fefcfd44a48	10	12
../9913_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	19	23
../9913_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	26	28
../9913_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	30	32
../9913_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	33	34
../568076_root_names.tsv	432a048480bcab0be498d92351c87922	11	14
